,Symbol,Name,Score
81622,UNC93B1,unc-93 homolog B1 (C. elegans),1.512
10101,NUBP2,nucleotide binding protein 2,1.511
3577,CXCR1,chemokine (C-X-C motif) receptor 1,1.51
286151,FBXO43,F-box protein 43,1.509
55022,PID1,phosphotyrosine interaction domain containing 1,1.509
115727,RASGRP4,RAS guanyl releasing protein 4,1.509
101927221,LOC101927221,uncharacterized LOC101927221,1.509
51043,ZBTB7B,zinc finger and BTB domain containing 7B,1.509
113179,ADAT3,"adenosine deaminase, tRNA-specific 3",1.508
199990,C1orf86,chromosome 1 open reading frame 86,1.508
116449,CLNK,cytokine-dependent hematopoietic cell linker,1.508
84677,DSCR8,Down syndrome critical region gene 8,1.508
284454,LOC284454,uncharacterized LOC284454,1.508
5899,RALB,v-ral simian leukemia viral oncogene homolog B,1.508
729991,MEF2BNB,MEF2B neighbor,1.507
8301,PICALM,phosphatidylinositol binding clathrin assembly protein,1.507
22904,SBNO2,strawberry notch homolog 2 (Drosophila),1.507
255043,TMEM86B,transmembrane protein 86B,1.507
3689,ITGB2,"integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)",1.506
64397,ZNF106,zinc finger protein 106,1.506
5566,PRKACA,"protein kinase, cAMP-dependent, catalytic, alpha",1.505
997,CDC34,cell division cycle 34,1.504
84316,LSMD1,LSM domain containing 1,1.504
51629,SLC25A39,"solute carrier family 25, member 39",1.504
113278,SLC52A3,"solute carrier family 52 (riboflavin transporter), member 3",1.504
10333,TLR6,toll-like receptor 6,1.504
25893,TRIM58,tripartite motif containing 58,1.504
9942,XYLB,xylulokinase homolog (H. influenzae),1.504
10097,ACTR2,ARP2 actin-related protein 2 homolog (yeast),1.503
2248,FGF3,fibroblast growth factor 3,1.503
10509,SEMA4B,"sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4B",1.503
977,CD151,CD151 molecule (Raph blood group),1.502
23569,PADI4,"peptidyl arginine deiminase, type IV",1.502
127544,RNF19B,ring finger protein 19B,1.502
3459,IFNGR1,interferon gamma receptor 1,1.501
8825,LIN7A,lin-7 homolog A (C. elegans),1.501
23132,RAD54L2,RAD54-like 2 (S. cerevisiae),1.501
80019,UBTD1,ubiquitin domain containing 1,1.501
146722,CD300LF,CD300 molecule-like family member f,1.5
3012,HIST1H2AE,"histone cluster 1, H2ae",1.5
375033,PEAR1,platelet endothelial aggregation receptor 1,1.5
166863,RBM46,RNA binding motif protein 46,1.5
79178,THTPA,thiamine triphosphatase,1.5
57628,DPP10,dipeptidyl-peptidase 10 (non-functional),1.499
26508,HEYL,hes-related family bHLH transcription factor with YRPW motif-like,1.499
55291,PPP6R3,"protein phosphatase 6, regulatory subunit 3",1.499
84984,CEP19,centrosomal protein 19kDa,1.498
57020,C16orf62,chromosome 16 open reading frame 62,1.498
135935,NOBOX,NOBOX oogenesis homeobox,1.498
9094,UNC119,unc-119 homolog (C. elegans),1.498
56834,GPR137,G protein-coupled receptor 137,1.496
9191,DEDD,death effector domain containing,1.495
2782,GNB1,"guanine nucleotide binding protein (G protein), beta polypeptide 1",1.495
84981,MIR22HG,MIR22 host gene (non-protein coding),1.495
8189,SYMPK,symplekin,1.495
22913,RALY,RALY heterogeneous nuclear ribonucleoprotein,1.494
64581,CLEC7A,"C-type lectin domain family 7, member A",1.493
80005,DOCK5,dedicator of cytokinesis 5,1.493
4802,NFYC,"nuclear transcription factor Y, gamma",1.493
85441,HELZ2,"helicase with zinc finger 2, transcriptional coactivator",1.492
397,ARHGDIB,Rho GDP dissociation inhibitor (GDI) beta,1.492
83539,CHST9,carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 9,1.491
6256,RXRA,"retinoid X receptor, alpha",1.491
27429,HTRA2,HtrA serine peptidase 2,1.49
3965,LGALS9,"lectin, galactoside-binding, soluble, 9",1.49
100132078,LOC100132078,uncharacterized LOC100132078,1.49
22918,CD93,CD93 molecule,1.488
414,ARSD,arylsulfatase D,1.487
284348,LYPD5,LY6/PLAUR domain containing 5,1.487
140730,RIMS4,regulating synaptic membrane exocytosis 4,1.487
10537,UBD,ubiquitin D,1.487
6609,SMPD1,"sphingomyelin phosphodiesterase 1, acid lysosomal",1.486
100130938,LOC100130938,uncharacterized LOC100130938,1.486
10449,ACAA2,acetyl-CoA acyltransferase 2,1.485
928,CD9,CD9 molecule,1.485
1839,HBEGF,heparin-binding EGF-like growth factor,1.485
80896,NPL,N-acetylneuraminate pyruvate lyase (dihydrodipicolinate synthase),1.485
7879,RAB7A,"RAB7A, member RAS oncogene family",1.484
79134,TMEM185B,transmembrane protein 185B,1.484
339479,BRINP3,bone morphogenetic protein/retinoic acid inducible neural-specific 3,1.483
388387,LINC00671,long intergenic non-protein coding RNA 671,1.483
8692,HYAL2,hyaluronoglucosaminidase 2,1.481
1432,MAPK14,mitogen-activated protein kinase 14,1.481
51107,APH1A,APH1A gamma secretase subunit,1.48
10043,TOM1,target of myb1 (chicken),1.48
2752,GLUL,glutamate-ammonia ligase,1.479
2840,GPR17,G protein-coupled receptor 17,1.478
5691,PSMB3,"proteasome (prosome, macropain) subunit, beta type, 3",1.478
3495,IGHD,immunoglobulin heavy constant delta,1.477
1317,SLC31A1,"solute carrier family 31 (copper transporter), member 1",1.477
121512,FGD4,"FYVE, RhoGEF and PH domain containing 4",1.476
3920,LAMP2,lysosomal-associated membrane protein 2,1.476
9853,RUSC2,RUN and SH3 domain containing 2,1.476
29766,TMOD3,tropomodulin 3 (ubiquitous),1.476
2791,GNG11,"guanine nucleotide binding protein (G protein), gamma 11",1.475
56244,BTNL2,butyrophilin-like 2 (MHC class II associated),1.474
54584,GNB1L,"guanine nucleotide binding protein (G protein), beta polypeptide 1-like",1.474
150372,NFAM1,NFAT activating protein with ITAM motif 1,1.474
83862,TMEM120A,transmembrane protein 120A,1.474
100132074,FOXO6,forkhead box O6,1.473
3293,HSD17B3,hydroxysteroid (17-beta) dehydrogenase 3,1.473
2011,MARK2,MAP/microtubule affinity-regulating kinase 2,1.473
254122,SNX32,sorting nexin 32,1.473
100506922,LOC100506922,basic proline-rich protein-like,1.472
10634,GAS2L1,growth arrest-specific 2 like 1,1.472
6722,SRF,serum response factor (c-fos serum response element-binding transcription factor),1.472
2352,FOLR3,folate receptor 3 (gamma),1.471
259249,MRGPRX1,"MAS-related GPR, member X1",1.471
129642,MBOAT2,membrane bound O-acyltransferase domain containing 2,1.471
101929495,LOC101929495,uncharacterized LOC101929495,1.471
25979,DHRS7B,dehydrogenase/reductase (SDR family) member 7B,1.47
4314,MMP3,"matrix metallopeptidase 3 (stromelysin 1, progelatinase)",1.47
56729,RETN,resistin,1.47
101928881,LOC101928881,uncharacterized LOC101928881,1.47
128486,FITM2,fat storage-inducing transmembrane protein 2,1.469
26577,PCOLCE2,procollagen C-endopeptidase enhancer 2,1.469
51465,UBE2J1,"ubiquitin-conjugating enzyme E2, J1",1.469
79971,WLS,wntless Wnt ligand secretion mediator,1.469
158293,FAM120AOS,family with sequence similarity 120A opposite strand,1.468
80313,LRRC27,leucine rich repeat containing 27,1.468
5836,PYGL,"phosphorylase, glycogen, liver",1.468
59345,GNB4,"guanine nucleotide binding protein (G protein), beta polypeptide 4",1.467
4635,MYL4,"myosin, light chain 4, alkali; atrial, embryonic",1.467
6324,SCN1B,"sodium channel, voltage-gated, type I, beta subunit",1.467
84164,ASCC2,activating signal cointegrator 1 complex subunit 2,1.466
6361,CCL17,chemokine (C-C motif) ligand 17,1.466
94235,GNG8,"guanine nucleotide binding protein (G protein), gamma 8",1.465
147700,KLC3,kinesin light chain 3,1.465
1955,MEGF9,multiple EGF-like-domains 9,1.465
9274,BCL7C,B-cell CLL/lymphoma 7C,1.464
971,CD72,CD72 molecule,1.464
51032,CELA2B,"chymotrypsin-like elastase family, member 2B",1.464
389337,ARHGEF37,Rho guanine nucleotide exchange factor (GEF) 37,1.464
29903,CCDC106,coiled-coil domain containing 106,1.463
23001,WDFY3,WD repeat and FYVE domain containing 3,1.463
63940,GPSM3,G-protein signaling modulator 3,1.462
7321,UBE2D1,ubiquitin-conjugating enzyme E2D 1,1.462
10390,CEPT1,choline/ethanolamine phosphotransferase 1,1.46
525,ATP6V1B1,"ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B1",1.459
728,C5AR1,complement component 5a receptor 1,1.459
10577,NPC2,"Niemann-Pick disease, type C2",1.459
57597,BAHCC1,BAH domain and coiled-coil containing 1,1.458
1362,CPD,carboxypeptidase D,1.458
1439,CSF2RB,"colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)",1.458
2495,FTH1,"ferritin, heavy polypeptide 1",1.458
89885,FATE1,fetal and adult testis expressed 1,1.458
400617,KCNJ2-AS1,KCNJ2 antisense RNA 1 (head to head),1.458
285045,LINC00486,long intergenic non-protein coding RNA 486,1.458
390940,PINLYP,phospholipase A2 inhibitor and LY6/PLAUR domain containing,1.458
6692,SPINT1,"serine peptidase inhibitor, Kunitz type 1",1.458
84002,B3GNT5,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5",1.458
54942,FAM206A,"family with sequence similarity 206, member A",1.456
51135,IRAK4,interleukin-1 receptor-associated kinase 4,1.456
286006,LSMEM1,leucine-rich single-pass membrane protein 1,1.456
59351,PBOV1,prostate and breast cancer overexpressed 1,1.456
199964,TMEM61,transmembrane protein 61,1.456
7768,ZNF225,zinc finger protein 225,1.456
1475,CSTA,cystatin A (stefin A),1.455
85236,HIST1H2BK,"histone cluster 1, H2bk",1.455
100129597,LINC00462,long intergenic non-protein coding RNA 462,1.455
3780,KCNN1,"potassium intermediate/small conductance calcium-activated channel, subfamily N, member 1",1.455
7791,ZYX,zyxin,1.455
22873,DZIP1,DAZ interacting zinc finger protein 1,1.454
58496,LY6G5B,"lymphocyte antigen 6 complex, locus G5B",1.454
10924,SMPDL3A,"sphingomyelin phosphodiesterase, acid-like 3A",1.454
669,BPGM,"2,3-bisphosphoglycerate mutase",1.453
3579,CXCR2,chemokine (C-X-C motif) receptor 2,1.453
124936,CYB5D2,cytochrome b5 domain containing 2,1.453
10103,TSPAN1,tetraspanin 1,1.453
211,ALAS1,"aminolevulinate, delta-, synthase 1",1.452
10036,CHAF1A,"chromatin assembly factor 1, subunit A (p150)",1.452
83706,FERMT3,fermitin family member 3,1.452
4311,MME,membrane metallo-endopeptidase,1.452
5457,POU4F1,POU class 4 homeobox 1,1.452
728039,SSR4P1,"signal sequence receptor, delta pseudogene 1",1.452
101928504,LOC101928504,uncharacterized LOC101928504,1.451
51308,REEP2,receptor accessory protein 2,1.45
